PLAYER_ID,PLAYER_NAME,PRIMARY_POS,HEIGHT_CM,WEIGHT_KG,G,A,GP,PPG,PIM,LEAGUE_YEAR
72115,Peter Taglianetti,D,185,84,0,1,13,0.0769230769230769,12,1994-1995
72143,David Mackey,LW,183,85,2,3,30,0.166666666666667,56,1993-1994
72144,Bob Brooke,C,178,75,12,14,73,0.356164383561644,63,1989-1990
72145,Petr Kl・Ema,RW,180,88,1,0,13,0.0769230769230769,4,1998-1999
72198,John Ogrodnick,LW,183,84,6,6,19,0.631578947368421,2,1992-1993
72200,Troy Crowder,RW,178,86,1,2,30,0.1,52,1996-1997
72203,Chris Luongo,D,195,93,3,7,74,0.135135135135135,55,1995-1996
72204,Bob Wilkie,D,185,86,1,3,10,0.4,8,1993-1994
72208,John Chabot,C,190,90,5,5,27,0.37037037037037,4,1990-1991
72706,John Mokosak,D,182,86,0,1,33,0.0303030303030303,82,1989-1990
72708,Jim Nill,RW,183,83,0,2,15,0.133333333333333,18,1989-1990
72709,Mike O'Connell,D,180,94,4,14,66,0.272727272727273,22,1989-1990
72710,Scott Fraser,C,196,103,2,4,28,0.214285714285714,14,1998-1999
72711,Donald Dufresne,D,180,86,0,1,22,0.0454545454545455,15,1996-1997
72712,Gord Mark,D,191,92,0,2,18,0.111111111111111,35,1994-1995
72813,David Maley,LW,193,93,0,6,56,0.107142857142857,104,1993-1994
72894,Norm Maciver,D,183,86,2,6,41,0.195121951219512,38,1997-1998
72991,Mark Visheau,D,175,79,1,3,28,0.142857142857143,107,1998-1999
73109,Saku M・Eenalanen,RW,186,80,4,4,34,0.235294117647059,20,2018-2019
73181,John Druce,RW,185,86,1,2,23,0.130434782608696,2,1997-1998
73262,Jim Paek,D,191,94,0,2,29,0.0689655172413793,28,1994-1995
73292,Antti Suomela,C,174,80,3,5,27,0.296296296296296,4,2018-2019
73520,Rene Chapdelaine,D,179,88,0,0,13,0,12,1992-1993
73522,Sean Whyte,RW,192,96,0,2,18,0.111111111111111,12,1992-1993
73528,Sylvain Couturier,C,185,86,3,1,14,0.285714285714286,2,1991-1992
73535,Scott Bjugstad,RW,181,84,2,4,22,0.272727272727273,10,1991-1992
73554,Hubie McDonough,C,183,92,6,2,30,0.266666666666667,6,1992-1993
73555,Barry Beck,D,173,82,1,7,52,0.153846153846154,53,1989-1990
73556,Tom Laidlaw,D,179,80,1,8,57,0.157894736842105,42,1989-1990
73565,Ron Wilson,C,195,98,2,10,48,0.25,12,1993-1994
73623,Stan Smyl,RW,188,95,2,12,47,0.297872340425532,87,1990-1991
73710,Bill Clement,C,185,86,4,12,69,0.231884057971014,28,1981-1982
73714,Ben Hankinson,RW,171,77,0,2,26,0.0769230769230769,13,1994-1995
73738,Jeff Madill,RW,185,83,4,0,14,0.285714285714286,46,1990-1991
74028,Chris Valentine,F,187,95,6,5,22,0.5,21,1983-1984
74314,Dale Kushner,RW,188,87,3,2,19,0.263157894736842,18,1991-1992
74315,Dale Henry,LW,185,79,0,2,20,0.1,2,1989-1990
74333,Joby Messier,D,173,71,0,2,10,0.2,18,1994-1995
74334,Phil Bourque,LW,180,84,1,1,13,0.153846153846154,14,1995-1996
74406,Eric Vail,LW,185,91,14,15,58,0.5,35,1981-1982
74464,Ron Greschner,D,183,91,1,9,55,0.181818181818182,53,1989-1990
74468,Andrew McBain,RW,193,95,11,8,55,0.345454545454545,64,1993-1994
74472,Derek Mayer,D,180,84,2,2,17,0.235294117647059,8,1993-1994
74473,Hank Lammens,D,180,86,1,2,27,0.111111111111111,22,1993-1994
74481,Russ Romaniuk,LW,178,82,3,0,17,0.176470588235294,17,1995-1996
74484,Al Conroy,C,179,81,4,3,62,0.112903225806452,65,1993-1994
74493,Guy Chouinard,C,185,82,12,34,64,0.71875,10,1983-1984
74514,Ken Houston,RW,191,94,8,8,37,0.432432432432432,15,1983-1984
74534,Jerry Korab,D,175,79,1,6,25,0.28,29,1984-1985
74537,Doug Evans,LW,186,97,8,13,65,0.323076923076923,70,1992-1993
74549,Doug Sulliman,RW,183,82,3,4,28,0.25,0,1989-1990
74557,Rob Murray,C,185,80,1,2,13,0.230769230769231,4,1998-1999
74564,Bryan Erickson,RW,183,84,0,0,16,0,6,1993-1994
74611,Alex Galchenyuk,C,185,84,19,22,72,0.569444444444444,34,2018-2019
74619,Phil Sykes,LW,173,77,4,2,52,0.115384615384615,72,1991-1992
74621,Mark Kumpel,RW,187,92,7,3,53,0.188679245283019,10,1990-1991
74727,Ron Meighan,D,190,86,2,6,41,0.195121951219512,16,1982-1983
74836,Pierre Mondou,RW,176,81,18,39,67,0.850746268656716,21,1984-1985
74997,Brock Nelson,C,185,86,25,28,82,0.646341463414634,28,2018-2019
75015,Kenny Agostino,LW,178,77,6,18,63,0.380952380952381,34,2018-2019
75018,Garnet Hathaway,RW,190,86,11,8,76,0.25,56,2018-2019
75045,Zach Hyman,LW,175,82,21,20,71,0.577464788732394,65,2018-2019
75052,Andy Welinski,D,180,79,1,3,26,0.153846153846154,8,2018-2019
75066,Joseph LaBate,LW,191,100,0,0,13,0,21,2016-2017
75379,Mark Scheifele,C,183,84,38,46,82,1.02439024390244,38,2018-2019
75939,Kevin Czuczman,D,180,87,0,2,13,0.153846153846154,14,2013-2014
75951,Tanner Pearson,LW,185,78,18,9,80,0.3375,25,2018-2019
76087,Josh Jooris,C,183,88,3,3,40,0.15,16,2017-2018
76300,Jay Caufield,RW,188,88,0,0,26,0,60,1992-1993
76324,Charles Hudon,LW,183,88,3,2,32,0.15625,16,2018-2019
76326,Mike Murphy,RW,193,89,16,11,74,0.364864864864865,52,1982-1983
76333,Mike Matheson,D,175,75,8,19,75,0.36,44,2018-2019
76389,Gilbert Delorme,D,185,88,3,7,54,0.185185185185185,44,1989-1990
76394,Mark Kachowski,LW,188,94,0,1,14,0.0714285714285714,40,1989-1990
76486,Brock McGinn,LW,183,104,10,16,82,0.317073170731707,20,2018-2019
76633,Dale Craigwell,C,179,79,3,6,58,0.155172413793103,16,1993-1994
76638,Jean-Fran・Eois Quintin,LW,175,82,2,5,14,0.5,4,1992-1993
76639,Craig Coxe,LW,186,91,2,0,10,0.2,19,1991-1992
76690,Scott Laughton,C,183,85,12,20,82,0.390243902439024,53,2018-2019
76896,Tom Tilley,D,180,81,1,7,48,0.166666666666667,32,1993-1994
77001,Michael Volcan,D,183,91,1,4,19,0.263157894736842,18,1983-1984
77086,Rick Meagher,C,191,103,3,1,24,0.166666666666667,6,1990-1991
77087,Steve Tuttle,RW,188,93,3,6,20,0.45,2,1990-1991
77089,Paul MacLean,RW,190,91,6,11,37,0.459459459459459,24,1990-1991
77099,Mike McBain,D,180,84,0,6,37,0.162162162162162,14,1998-1999
77120,Yegor Yakovlev,D,180,73,2,5,25,0.28,6,2018-2019
77237,Nikita Kucherov,RW,185,80,41,87,82,1.5609756097561,62,2018-2019
77242,Igor Ozhiganov,D,180,91,3,4,53,0.132075471698113,14,2018-2019
77452,Pierre Rioux,LW,185,86,1,2,14,0.214285714285714,4,1982-1983
77810,Tim Bergland,RW,191,97,6,5,54,0.203703703703704,10,1993-1994
77824,Larry Courville,LW,175,88,0,0,11,0,5,1997-1998
78098,Don Gibson,D,178,80,0,3,14,0.214285714285714,20,1990-1991
78120,Larry Melnyk,D,185,84,0,2,67,0.0298507462686567,91,1989-1990
78125,Daryl Stanley,D,180,95,1,1,23,0.0869565217391304,27,1989-1990
78144,Brian Engblom,D,193,103,0,4,32,0.125,28,1986-1987
78150,Ben Hutton,D,185,81,5,15,69,0.289855072463768,43,2018-2019
78295,Matthew Peca,C,185,82,3,7,39,0.256410256410256,4,2018-2019
78342,Scot Kleinendorst,D,185,93,1,3,15,0.266666666666667,16,1989-1990
78348,Trevor Stienburg,RW,180,73,6,3,55,0.163636363636364,130,1988-1989
78668,Michel Galarneau,RW,183,91,5,4,38,0.236842105263158,21,1982-1983
78744,Mitch Wilson,RW,182,86,2,1,17,0.176470588235294,83,1986-1987
79620,Bob Crawford,RW,185,90,0,0,15,0,2,1986-1987
80692,St・Ephane Roy,C,185,93,1,0,12,0.0833333333333333,0,1987-1988
80777,Mark Renaud,D,177,90,1,3,10,0.4,6,1983-1984
81355,Larry Trader,D,188,87,2,4,31,0.193548387096774,21,1987-1988
81452,Jean Pronovost,RW,180,75,1,2,10,0.3,4,1981-1982
82169,Tim Bothwell,D,185,86,0,0,22,0,14,1988-1989
82213,Rick Paterson,C,191,93,1,2,22,0.136363636363636,6,1986-1987
82279,Ric Seiling,RW,193,105,3,8,74,0.148648648648649,49,1986-1987
82305,Nic Petan,W,180,82,1,2,18,0.166666666666667,2,2018-2019
82512,Josh Brown,D,188,90,1,1,37,0.0540540540540541,28,2018-2019
82659,John Marks,D,186,83,1,0,13,0.0769230769230769,7,1981-1982
82990,Rick Chartraw,D,178,81,2,6,28,0.285714285714286,25,1983-1984
83462,Taro Hirose,LW,185,79,1,6,10,0.7,2,2018-2019
83781,Jan Ludvig,F,188,87,0,2,13,0.153846153846154,39,1988-1989
83865,Robert Sullivan,LW,195,98,18,19,62,0.596774193548387,18,1982-1983
84092,John Quenneville,C,180,81,1,0,19,0.0526315789473684,4,2018-2019
84242,Jake DeBrusk,LW,193,91,27,15,68,0.617647058823529,18,2018-2019
84332,Dennis Polonich,C,178,80,0,1,11,0.0909090909090909,0,1982-1983
84343,Glen Cochrane,D,173,79,0,0,18,0,65,1988-1989
84404,Ashton Sautner,D,183,84,0,1,17,0.0588235294117647,2,2018-2019
84424,Colby Cave,C,188,93,3,5,53,0.150943396226415,16,2018-2019
84507,Jim Schoenfeld,D,198,107,0,3,34,0.0882352941176471,28,1984-1985
84508,Gary Rissling,LW,188,107,10,9,56,0.339285714285714,209,1984-1985
84533,Archie Henderson,RW,186,95,2,1,15,0.2,64,1982-1983
84609,Dryden Hunt,LW,183,81,3,7,31,0.32258064516129,8,2018-2019
84700,Jordan Oesterle,D,183,84,6,14,71,0.28169014084507,12,2018-2019
84723,Slater Koekkoek,D,175,84,2,4,31,0.193548387096774,14,2018-2019
84762,Jaycob Megna,D,178,86,1,3,28,0.142857142857143,12,2018-2019
84938,Lawrence Pilut,D,180,79,1,5,33,0.181818181818182,20,2018-2019
85013,Sean Monahan,C,191,90,34,48,78,1.05128205128205,12,2018-2019
85423,Rich Preston,RW,182,88,8,9,73,0.232876712328767,19,1986-1987
85479,Jeff Sharples,D,183,84,4,9,46,0.282608695652174,26,1988-1989
85666,Carl Dahlstr・Em,D,188,88,0,6,38,0.157894736842105,6,2018-2019
85679,Peter Bakovic,LW,185,86,2,0,10,0.2,48,1987-1988
85683,Andreas Borgman,D,192,99,3,8,48,0.229166666666667,28,2017-2018
85737,Doug Risebrough,C,192,99,2,3,22,0.227272727272727,66,1986-1987
85738,Lee Fogolin,D,188,103,1,5,44,0.136363636363636,25,1986-1987
85742,Grant Mulvey,RW,178,81,1,2,12,0.25,19,1983-1984
85743,Paul Mulvey,LW,193,98,1,14,38,0.394736842105263,126,1981-1982
86009,Andreas Athanasiou,LW,191,91,30,24,76,0.710526315789474,38,2018-2019
86137,Rasmus Andersson,D,193,86,2,17,79,0.240506329113924,23,2018-2019
86181,Oskar Lindblom,LW,191,87,17,16,81,0.407407407407407,20,2018-2019
86313,Adrian Kempe,C,171,65,12,16,81,0.345679012345679,50,2018-2019
86321,Marcus Pettersson,D,171,67,2,23,84,0.297619047619048,66,2018-2019
86366,Gustav Forsling,D,188,81,3,6,43,0.209302325581395,30,2018-2019
86761,Ryan Pulock,D,191,92,9,28,82,0.451219512195122,22,2018-2019
87846,Trevor Moore,C,185,77,2,6,25,0.32,2,2018-2019
87971,Kevin Fiala,LW,183,77,13,26,83,0.469879518072289,36,2018-2019
88391,Johnny Gaudreau,LW,191,79,36,63,82,1.20731707317073,24,2018-2019
88617,Brett Kulak,D,182,86,6,11,57,0.298245614035088,31,2018-2019
88662,William Carrier,LW,193,91,8,1,54,0.166666666666667,29,2018-2019
88692,Josh Leivo,LW,183,84,14,10,76,0.315789473684211,32,2018-2019
89181,Brendan Leipsic,LW,189,77,7,16,62,0.370967741935484,24,2018-2019
89311,Jack O'Callahan,D,193,94,5,21,36,0.722222222222222,51,1988-1989
89411,Colton Parayko,D,191,89,10,18,80,0.35,15,2018-2019
89694,Adam Pelech,D,171,70,5,16,78,0.269230769230769,24,2018-2019
89818,Tony DeAngelo,D,183,88,4,26,61,0.491803278688525,77,2018-2019
90050,Casey Nelson,D,168,74,1,5,38,0.157894736842105,13,2018-2019
90101,Paul LaDue,D,178,70,2,3,33,0.151515151515152,12,2018-2019
90302,Ian McCoshen,D,178,78,1,1,19,0.105263157894737,8,2018-2019
90345,Ryan Hartman,RW,180,66,12,14,83,0.313253012048193,74,2018-2019
90348,Connor Carrick,D,188,86,2,9,34,0.323529411764706,19,2018-2019
90349,Jacob Trouba,D,178,85,8,42,82,0.609756097560976,58,2018-2019
90350,Matt Grzelcyk,D,193,84,3,15,66,0.272727272727273,68,2018-2019
90352,Brady Skjei,D,183,80,8,17,78,0.320512820512821,44,2018-2019
90355,Seth Jones,D,185,84,9,37,75,0.613333333333333,28,2018-2019
90359,Adam Erne,LW,188,84,7,13,65,0.307692307692308,40,2018-2019
90365,Max McCormick,LW,185,79,1,0,14,0.0714285714285714,4,2018-2019
